圖資名稱,製作說明,基本說明,連結網址
不分幅_全台及澎湖DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/9981ede9-584a-4470-8c5c-dbe579d4ecb4/不分幅_全台及澎湖DEM.zip
分幅_苗栗縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/700a0fca-1778-4da9-a8f0-b1d164f80923/分幅_苗栗縣DEM.zip
分幅_基隆市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/947218b4-2199-41e2-b477-9348bc9a8a9c/分幅_基隆市DEM.zip
分幅_宜蘭縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/7cfe5390-9b80-4d7d-9269-67af6702c594/分幅_宜蘭縣DEM.zip
分幅_嘉義市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/489f1812-6b43-41a5-a034-74cee3e5ebe1/分幅_嘉義市DEM.zip
分幅_新竹市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/abf26a35-c409-4f2b-83a2-e15df1e93c86/分幅_新竹市DEM.zip
分幅_臺北市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/d18c7b0d-1f49-4a9d-9eb3-3a0f94b33255/分幅_臺北市DEM.zip
分幅_臺南市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/f5f8281e-6a31-476d-8b9e-b8c44ad78d74/分幅_臺南市DEM.zip
分幅_南投縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/7ec14d10-f02b-460d-b8fc-2aa667a6f193/分幅_南投縣DEM.zip
分幅_新北市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/ad3d5038-886e-4f3c-b742-c68e179bfac5/分幅_新北市DEM.zip
分幅_高雄市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/da7e1694-b0ea-4f67-bc97-a319f8807e2b/分幅_高雄市DEM.zip
分幅_澎湖縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/152e3c53-a023-40ed-91e8-99ba9653661f/分幅_澎湖縣DEM.zip
分幅_嘉義縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/2b760ff9-f1d4-426a-b61d-431cf2981ff0/分幅_嘉義縣DEM.zip
分幅_桃園市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/b798161a-d60f-4399-a83f-9a9d182a134f/分幅_桃園市DEM.zip
分幅_臺中市DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/0f403233-b545-4e04-bcb1-0cbab476323f/分幅_臺中市DEM.zip
分幅_臺東縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/c34a88f0-38a7-491e-bac7-4f7ce390fb1a/分幅_臺東縣DEM.zip
分幅_花蓮縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/e257ee3c-f8db-4240-a5b3-ffb57982ee23/分幅_花蓮縣DEM.zip
分幅_屏東縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/4d330e25-cd83-4163-a009-a9a776580a98/分幅_屏東縣DEM.zip
分幅_彰化縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/9376f09e-3690-4acf-885c-2cfbb693b4c3/分幅_彰化縣DEM.zip
分幅_雲林縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/469afd50-0b22-461c-b348-eb36aa87526c/分幅_雲林縣DEM.zip
分幅_新竹縣DEM,航空攝影測量,詳各圖幅之檔頭(.hdr檔),https://www.tgos.tw/MDE/VirtualDir_TC/Product/ed20601a-24dd-48f9-a4c0-1659aaccda28/分幅_新竹縣DEM.zip
